id	port_status	implementation	legacy_field	legacy_class	old_texture	new_texture	old_zh_cn	new_zh_cn	legacy_block_item	initializer
acetylene_torch	formal	HbmItems	acetylene_torch	ItemBlowtorch	True	True	True	True	False	acetylene_torch = new ItemBlowtorch().setUnlocalizedName("acetylene_torch")
achievement_icon	formal	HbmItems	achievement_icon	ItemEnumMulti	False	True	False	True	False	achievement_icon = new ItemEnumMulti(ItemEnums.EnumAchievementType.class, true, true).setUnlocalizedName("achievement_icon")
ajr_boots	formal	HbmItems		UNRESOLVED	True	True	True	True	False	
ajr_helmet	formal	HbmItems		UNRESOLVED	True	True	True	True	False	
ajr_legs	formal	HbmItems		UNRESOLVED	True	True	True	True	False	
ajr_plate	formal	HbmItems		UNRESOLVED	True	True	True	True	False	
ajro_boots	formal	HbmItems		UNRESOLVED	True	True	True	True	False	
ajro_helmet	formal	HbmItems		UNRESOLVED	True	True	True	True	False	
ajro_legs	formal	HbmItems		UNRESOLVED	True	True	True	True	False	
ajro_plate	formal	HbmItems		UNRESOLVED	True	True	True	True	False	
ammo_arty	formal	HbmItems	ammo_arty	ItemAmmoArty	True	True	True	True	False	ammo_arty = new ItemAmmoArty().setUnlocalizedName("ammo_arty")
ammo_bag	formal	HbmItems	ammo_bag	ItemAmmoBag	True	True	True	True	False	ammo_bag = new ItemAmmoBag().setUnlocalizedName("ammo_bag").setCreativeTab(MainRegistry.consumableTab).setTextureName(RefStrings.MODID + ":ammo_bag")
ammo_bag_infinite	formal	HbmItems	ammo_bag_infinite	ItemAmmoBag	True	True	True	True	False	ammo_bag_infinite = new ItemAmmoBag().setUnlocalizedName("ammo_bag_infinite").setCreativeTab(MainRegistry.consumableTab).setTextureName(RefStrings.MODID + ":ammo_bag_infinite")
ammo_container	formal	HbmItems	ammo_container	ItemAmmoContainer	True	True	True	True	False	ammo_container = new ItemAmmoContainer().setUnlocalizedName("ammo_container").setCreativeTab(MainRegistry.weaponTab).setTextureName(RefStrings.MODID + ":ammo_container")
ammo_debug	formal	HbmItems		UNRESOLVED	False	False	False	False	False	
ammo_dgk	formal	HbmItems	ammo_dgk	ItemCustomLore	True	True	True	True	False	ammo_dgk = new ItemCustomLore().setUnlocalizedName("ammo_dgk").setCreativeTab(MainRegistry.weaponTab)
ammo_fireext	formal	HbmItems	ammo_fireext	ItemAmmo	True	True	True	False	False	ammo_fireext = (ItemEnumMulti) new ItemAmmo(AmmoFireExt.class).setCreativeTab(MainRegistry.weaponTab).setUnlocalizedName("ammo_fireext")
ammo_himars	formal	HbmItems	ammo_himars	ItemAmmoHIMARS	False	True	False	True	False	ammo_himars = new ItemAmmoHIMARS().setUnlocalizedName("ammo_himars")
ammo_secret	formal	HbmItems		UNRESOLVED	False	False	False	False	False	
ammo_shell	formal	HbmItems	ammo_shell	ItemAmmo	True	True	True	True	False	ammo_shell = (ItemEnumMulti) new ItemAmmo(Ammo240Shell.class).setCreativeTab(MainRegistry.weaponTab).setUnlocalizedName("ammo_shell")
ammo_standard	formal	HbmItems		UNRESOLVED	False	False	False	True	False	
ams_catalyst_aluminium	formal	HbmItems	ams_catalyst_aluminium	ItemCatalyst	True	True	True	True	False	ams_catalyst_aluminium = new ItemCatalyst(0xCCCCCC, 1000000, 1.15F, 0.85F, 1.15F).setUnlocalizedName("ams_catalyst_aluminium").setCreativeTab(MainRegistry.controlTab).setMaxStackSize(1).setTextureName(RefStrings.MODID + ":ams_catalyst_aluminium")
ams_catalyst_beryllium	formal	HbmItems	ams_catalyst_beryllium	ItemCatalyst	True	True	True	True	False	ams_catalyst_beryllium = new ItemCatalyst(0x97978B, 0, 1.25F, 0.95F, 1.05F).setUnlocalizedName("ams_catalyst_beryllium").setCreativeTab(MainRegistry.controlTab).setMaxStackSize(1).setTextureName(RefStrings.MODID + ":ams_catalyst_beryllium")
ams_catalyst_blank	formal	HbmItems	ams_catalyst_blank	Item	True	True	True	True	False	ams_catalyst_blank = new Item().setUnlocalizedName("ams_catalyst_blank").setCreativeTab(MainRegistry.controlTab).setMaxStackSize(1).setTextureName(RefStrings.MODID + ":ams_catalyst_blank")
ams_catalyst_caesium	formal	HbmItems	ams_catalyst_caesium	ItemCatalyst	True	True	True	True	False	ams_catalyst_caesium = new ItemCatalyst(0x6400FF, 2500000, 1.00F, 0.85F, 1.15F).setUnlocalizedName("ams_catalyst_caesium").setCreativeTab(MainRegistry.controlTab).setMaxStackSize(1).setTextureName(RefStrings.MODID + ":ams_catalyst_caesium")
ams_catalyst_cerium	formal	HbmItems	ams_catalyst_cerium	ItemCatalyst	True	True	True	True	False	ams_catalyst_cerium = new ItemCatalyst(0x1D3FFF, 1000000, 1.15F, 1.15F, 0.85F).setUnlocalizedName("ams_catalyst_cerium").setCreativeTab(MainRegistry.controlTab).setMaxStackSize(1).setTextureName(RefStrings.MODID + ":ams_catalyst_cerium")
ams_catalyst_cobalt	formal	HbmItems	ams_catalyst_cobalt	ItemCatalyst	True	True	True	True	False	ams_catalyst_cobalt = new ItemCatalyst(0x789BBE, 0, 1.25F, 1.05F, 0.95F).setUnlocalizedName("ams_catalyst_cobalt").setCreativeTab(MainRegistry.controlTab).setMaxStackSize(1).setTextureName(RefStrings.MODID + ":ams_catalyst_cobalt")
ams_catalyst_copper	formal	HbmItems	ams_catalyst_copper	ItemCatalyst	True	True	True	True	False	ams_catalyst_copper = new ItemCatalyst(0xAADE29, 0, 1.25F, 1.00F, 1.00F).setUnlocalizedName("ams_catalyst_copper").setCreativeTab(MainRegistry.controlTab).setMaxStackSize(1).setTextureName(RefStrings.MODID + ":ams_catalyst_copper")
ams_catalyst_dineutronium	formal	HbmItems	ams_catalyst_dineutronium	ItemCatalyst	True	True	True	True	False	ams_catalyst_dineutronium = new ItemCatalyst(0x334077, 2500000, 1.00F, 1.15F, 0.85F).setUnlocalizedName("ams_catalyst_dineutronium").setCreativeTab(MainRegistry.controlTab).setMaxStackSize(1).setTextureName(RefStrings.MODID + ":ams_catalyst_dineutronium")
ams_catalyst_euphemium	formal	HbmItems	ams_catalyst_euphemium	ItemCatalyst	True	True	True	True	False	ams_catalyst_euphemium = new ItemCatalyst(0xFF9CD2, 2500000, 1.00F, 1.00F, 1.00F).setUnlocalizedName("ams_catalyst_euphemium").setCreativeTab(MainRegistry.controlTab).setMaxStackSize(1).setTextureName(RefStrings.MODID + ":ams_catalyst_euphemium")
ams_catalyst_iron	formal	HbmItems	ams_catalyst_iron	ItemCatalyst	True	True	True	True	False	ams_catalyst_iron = new ItemCatalyst(0xFF7E22, 1000000, 1.15F, 0.95F, 1.05F).setUnlocalizedName("ams_catalyst_iron").setCreativeTab(MainRegistry.controlTab).setMaxStackSize(1).setTextureName(RefStrings.MODID + ":ams_catalyst_iron")
ams_catalyst_lithium	formal	HbmItems	ams_catalyst_lithium	ItemCatalyst	True	True	True	True	False	ams_catalyst_lithium = new ItemCatalyst(0xFF2727, 0, 1.25F, 0.85F, 1.15F).setUnlocalizedName("ams_catalyst_lithium").setCreativeTab(MainRegistry.controlTab).setMaxStackSize(1).setTextureName(RefStrings.MODID + ":ams_catalyst_lithium")
ams_catalyst_niobium	formal	HbmItems	ams_catalyst_niobium	ItemCatalyst	True	True	True	True	False	ams_catalyst_niobium = new ItemCatalyst(0x3BF1B6, 1000000, 1.15F, 1.05F, 0.95F).setUnlocalizedName("ams_catalyst_niobium").setCreativeTab(MainRegistry.controlTab).setMaxStackSize(1).setTextureName(RefStrings.MODID + ":ams_catalyst_niobium")
ams_catalyst_schrabidium	formal	HbmItems	ams_catalyst_schrabidium	ItemCatalyst	True	True	True	True	False	ams_catalyst_schrabidium = new ItemCatalyst(0x32FFFF, 2500000, 1.00F, 1.05F, 0.95F).setUnlocalizedName("ams_catalyst_schrabidium").setCreativeTab(MainRegistry.controlTab).setMaxStackSize(1).setTextureName(RefStrings.MODID + ":ams_catalyst_schrabidium")
ams_catalyst_strontium	formal	HbmItems	ams_catalyst_strontium	ItemCatalyst	True	True	True	True	False	ams_catalyst_strontium = new ItemCatalyst(0xDD0D35, 1000000, 1.15F, 1.00F, 1.00F).setUnlocalizedName("ams_catalyst_strontium").setCreativeTab(MainRegistry.controlTab).setMaxStackSize(1).setTextureName(RefStrings.MODID + ":ams_catalyst_strontium")
ams_catalyst_thorium	formal	HbmItems	ams_catalyst_thorium	ItemCatalyst	True	True	True	True	False	ams_catalyst_thorium = new ItemCatalyst(0x653B22, 2500000, 1.00F, 0.95F, 1.05F).setUnlocalizedName("ams_catalyst_thorium").setCreativeTab(MainRegistry.controlTab).setMaxStackSize(1).setTextureName(RefStrings.MODID + ":ams_catalyst_thorium")
ams_catalyst_tungsten	formal	HbmItems	ams_catalyst_tungsten	ItemCatalyst	True	True	True	True	False	ams_catalyst_tungsten = new ItemCatalyst(0xF5FF48, 0, 1.25F, 1.15F, 0.85F).setUnlocalizedName("ams_catalyst_tungsten").setCreativeTab(MainRegistry.controlTab).setMaxStackSize(1).setTextureName(RefStrings.MODID + ":ams_catalyst_tungsten")
ams_core_eyeofharmony	formal	HbmItems	ams_core_eyeofharmony	ItemAMSCore	True	True	True	True	False	ams_core_eyeofharmony = new ItemAMSCore(2500000000L, 300, 10).setUnlocalizedName("ams_core_eyeofharmony").setMaxStackSize(1).setCreativeTab(MainRegistry.controlTab).setTextureName(RefStrings.MODID + ":ams_core_eyeofharmony")
ams_core_sing	formal	HbmItems	ams_core_sing	ItemAMSCore	True	True	True	True	False	ams_core_sing = new ItemAMSCore(1000000000L, 200, 10).setUnlocalizedName("ams_core_sing").setMaxStackSize(1).setCreativeTab(MainRegistry.controlTab).setTextureName(RefStrings.MODID + ":ams_core_sing")
ams_core_thingy	formal	HbmItems	ams_core_thingy	ItemAMSCore	True	True	True	True	False	ams_core_thingy = new ItemAMSCore(5000000000L, 250, 5).setUnlocalizedName("ams_core_thingy").setMaxStackSize(1).setCreativeTab(null).setTextureName(RefStrings.MODID + ":ams_core_thingy")
ams_core_wormhole	formal	HbmItems	ams_core_wormhole	ItemAMSCore	True	True	True	True	False	ams_core_wormhole = new ItemAMSCore(1500000000L, 200, 15).setUnlocalizedName("ams_core_wormhole").setMaxStackSize(1).setCreativeTab(MainRegistry.controlTab).setTextureName(RefStrings.MODID + ":ams_core_wormhole")
ams_lens	formal	HbmItems	ams_lens	ItemLens	True	True	True	True	False	ams_lens = new ItemLens(60 * 60 * 60 * 20 * 100).setUnlocalizedName("ams_lens").setMaxStackSize(1).setCreativeTab(MainRegistry.controlTab).setTextureName(RefStrings.MODID + ":ams_lens")
