id	title	author	witty	rarity	hidden
mp_thruster_10_kerosene					false
mp_thruster_10_solid					false
mp_thruster_10_xenon					false
mp_thruster_15_kerosene					false
mp_thruster_15_kerosene_dual					false
mp_thruster_15_kerosene_triple					false
mp_thruster_15_solid					false
mp_thruster_15_solid_hexdecuple				UNCOMMON	false
mp_thruster_15_hydrogen					false
mp_thruster_15_hydrogen_dual					false
mp_thruster_15_balefire_short					false
mp_thruster_15_balefire					false
mp_thruster_15_balefire_large					false
mp_thruster_15_balefire_large_rad		The Master		UNCOMMON	false
mp_thruster_20_kerosene					false
mp_thruster_20_kerosene_dual					false
mp_thruster_20_kerosene_triple					false
mp_thruster_20_solid			It's basically just a big hole at the end of the fuel tank.		false
mp_thruster_20_solid_multi					false
mp_thruster_20_solid_multier			Did I miscount? Hope not.		false
mp_stability_10_flat					false
mp_stability_10_cruise					false
mp_stability_10_space			Standing there alone, the ship is waiting / All systems are go, are you sure?	COMMON	false
mp_stability_15_flat					false
mp_stability_15_thin					false
mp_stability_15_soyuz			小芯褞蟹!	COMMON	false
mp_s_20					false
mp_fuselage_10_kerosene		Hoboy			false
mp_fuselage_10_kerosene_camo	Camo			COMMON	false
mp_fuselage_10_kerosene_desert	Desert Camo			COMMON	false
mp_fuselage_10_kerosene_sky	Sky Camo			COMMON	false
mp_fuselage_10_kerosene_flames	Sick Flames			UNCOMMON	false
mp_fuselage_10_kerosene_insulation	Orange Insulation			COMMON	false
mp_fuselage_10_kerosene_sleek	IF-R&D			RARE	false
mp_fuselage_10_kerosene_metal	Bolted Metal	Hoboy		UNCOMMON	false
mp_fuselage_10_kerosene_taint	Tainted	Sam		UNCOMMON	false
mp_fuselage_10_solid					false
mp_fuselage_10_solid_flames	Sick Flames			UNCOMMON	false
mp_fuselage_10_solid_insulation	Orange Insulation			COMMON	false
mp_fuselage_10_solid_sleek	IF-R&D			RARE	false
mp_fuselage_10_solid_soviet_glory	Soviet Glory	Hoboy		EPIC	false
mp_fuselage_10_solid_cathedral	Unholy Cathedral	Satan	Quakeesque!	RARE	false
mp_fuselage_10_solid_moonlit	Moonlit	The Master & Hoboy		UNCOMMON	false
mp_fuselage_10_solid_battery	Ecstatic	wolfmonster222	I got caught eating batteries again :(	UNCOMMON	false
mp_fuselage_10_solid_duracell	Duracell	Hoboy	The crunchiest battery on the market!	RARE	false
mp_fuselage_10_xenon					false
mp_fuselage_10_xenon_bhole	Morceus-1457	Sten89		RARE	false
mp_fuselage_10_long_kerosene		Hoboy			false
mp_fuselage_10_long_kerosene_camo	Camo			COMMON	false
mp_fuselage_10_long_kerosene_desert	Desert Camo			COMMON	false
mp_fuselage_10_long_kerosene_sky	Sky Camo			COMMON	false
mp_fuselage_10_long_kerosene_flames	Sick Flames			UNCOMMON	false
mp_fuselage_10_long_kerosene_insulation	Orange Insulation			COMMON	false
mp_fuselage_10_long_kerosene_sleek	IF-R&D			RARE	false
mp_fuselage_10_long_kerosene_metal		Hoboy		UNCOMMON	false
mp_fuselage_10_long_kerosene_dash	Dash	Sam	I wash my hands of it.	EPIC	true
mp_fuselage_10_long_kerosene_taint	Tainted	Sam		UNCOMMON	false
mp_fuselage_10_long_kerosene_vap	Minty Contrail	VT-6/24	Upper rivet!	EPIC	false
mp_fuselage_10_long_solid					false
mp_fuselage_10_long_solid_flames	Sick Flames			UNCOMMON	false
mp_fuselage_10_long_solid_insulation	Orange Insulation			COMMON	false
mp_fuselage_10_long_solid_sleek	IF-R&D			RARE	false
mp_fuselage_10_long_solid_soviet_glory	Soviet Glory	Hoboy	Fully Automated Luxury Gay Space Communism!	EPIC	false
mp_fuselage_10_long_solid_bullet	Bullet Bill	Sam		COMMON	false
mp_fuselage_10_long_solid_silvermoonlight	Silver Moonlight	The Master		UNCOMMON	false
mp_fuselage_10_15_kerosene					false
mp_fuselage_10_15_solid					false
mp_fuselage_10_15_hydrogen					false
mp_fuselage_10_15_balefire					false
